sample	acc	study	study_title	contact_name	contact_email	country	site	collection_date	sample_prep	bases	bases_mapped	bases_duplicated	avg_read_length	mean_base_quality	bases_of_1X_coverage	bases_of_5X_coverage	bases_of_10X_coverage	bases_of_50X_coverage	mean_coverage	mean_fragment_size	sd_fragment_size	%callable
PA0041-C	ERS010119	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4744437321	3694438117	342180001	75	22.7	23219155	22846069	22064044	16426693	153.8	238.2	79.4	88.73
PA0042-C	ERS010120	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4419262975	3567826615	351065792	75	23.9	23176758	22891688	22315129	16991542	149.14	239.4	82.5	89.05
PA0044-C	ERS009731	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3941981681	3790310001	208944654	75	25.8	23228305	23158034	23100811	22599965	161.78	272.3	80.6	89.97
PA0045-C	ERS009732	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2814074670	2635281250	145868714	75	25.8	23159576	23049743	22958909	22036870	112.22	291.5	79.9	89.72
PA0046-C	ERS009733	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4149038274	3952221834	243458827	75	25.8	23196924	23090100	23012701	22356503	165.08	281.8	76.4	89.83
PA0047-C	ERS010113	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			422170710	379707914	66468610	75	25.2	23036471	21587651	17805515	110240	16.23	255.3	100.2	82.91
PA0049-C	ERS010071	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4362990285	4258773841	386058700	75	25	23171465	23088855	23019741	21597873	178.04	265.1	38.5	89.65
PA0050-C	ERS009669	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			1980219283	1922791935	160170684	75	24.5	23218592	23083018	22909246	16188337	81.22	307.3	47.7	89.75
PA0051-C	ERS011004	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			523356665	485655801	25215816	75	24.8	19700317	16210911	14055778	1550383	24.65	228	36.1	62.74
PA0052-C	ERS010070	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4962164117	4817804929	1222591599	75	23.8	23257270	23197205	23080124	18928719	181.94	253.3	45.8	89.49
PA0053-C	ERS009967	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4565771167	4215539075	272147065	75	24.4	23277443	23223498	23129976	20369767	178.82	237.4	74.3	89.96
PA0054-C	ERS011013	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			349393364	336198168	18118910	75	24.2	18756715	14570162	12038711	439817	17.92	227.5	37.1	56.09
PA0056-C	ERS011002	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			304084392	262843828	15513251	75	22.6	17309612	12534551	9232336	476725	14.62	223.4	45.6	47.37
PA0057-C	ERS011016	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			6189317258	6049287790	291156585	75	25.6	23188341	23117093	23057615	22357484	253.94	234.9	48	89.93
PA0059-C	ERS011009	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			206075584	186407088	11343454	75	23.5	19336334	13239943	7518791	187181	9.64	233.6	44.1	49.25
PA0061-C	ERS009670	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			1456402149	1385486777	213751790	75	22.9	23250035	22958063	22023158	9711943	56.93	385.6	247.7	88.35
PA0064-C	ERS011012	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			234342850	212211270	10683465	75	24.6	20622913	15591385	10482148	68782	10.29	233.9	46.8	59.59
PA0065-C	ERS010079	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3264908554	3106500614	689595343	75	24.8	23180584	23099222	23026771	20847729	130.18	210.3	56	89.33
PA0067-C	ERS011019	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			5122296881	5020458933	296234171	75	26.5	23116347	22873739	22622148	20419605	212.36	302.7	42.4	89.2
PA0068-C	ERS009970	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4833920772	4223064692	262232348	75	23.7	23218956	23019037	22610920	17852423	171.75	241.8	86.8	89.29
PA0069-C	ERS009971	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4757113292	4000425372	261012348	75	23.7	23223694	23074756	22777519	18129625	165.13	234.1	78.2	89.64
PA0071-C	ERS010078	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2818748467	2342634915	1231492050	75	22.2	23123809	22871968	22324634	13572612	93.89	203.1	135.5	85.88
PA0073-C	ERS010076	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3206641044	3114540900	294550268	75	25.6	23089932	22950402	22732371	20119680	131.11	345.2	913.6	87.91
PA0074-C	ERS010069	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2584867009	2473299389	211868709	75	25.8	23101804	22954709	22751620	17367689	105.59	260	40.8	89.36
PA0075-C	ERS010074	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3571944443	3440605651	295026348	75	25	23190058	23080376	22906778	21042553	144.59	252.3	62.7	88.96
PA0078-C	ERS011014	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4771842668	4662333204	425300763	74	25	23187238	23079116	22948476	20881292	195.6	993.8	2208.3	87.73
PA0079-C	ERS011008	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			220061315	208239135	10962229	75	24	18791516	12860200	8486705	169210	11.08	225.4	37.5	48.56
PA0081-C	ERS009676	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3878614459	3781754055	638136694	75	25	23166199	23089600	23026232	20363822	156.52	376.6	114.8	88.96
PA0084-C	ERS009972	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3868282518	3399106246	256467616	75	24.2	23254917	23108458	22720758	17440825	142.56	222.8	75.7	89.82
PA0085-C	ERS009672	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			862624477	831451937	130125120	75	24.8	23138527	22441755	20961876	5075284	35.83	297.4	95.9	86.11
PA0087-C	ERS011011	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			578660222	543730546	31121943	75	25.2	22694908	20871936	18628374	620690	23.4	233.6	44.9	81.16
PA0089-C	ERS011010	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			341645495	309635587	14727662	75	25.8	20306449	16196088	13000222	170092	14.84	231.9	39.1	62.84
PA0091-C	ERS009973	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4375089165	3763952797	183532087	75	24.4	23159747	22972666	22646245	18185252	159.77	209.6	66.7	89.27
PA0092-C	ERS010068	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			1828501994	1670689286	341663013	75	23.5	23206226	22807685	21756725	10904268	67.5	269.8	271.6	87.37
PA0093-C	ERS010077	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3319328176	3124707908	1580583339	75	24.4	23142050	23058751	22981358	20617947	131.05	220.1	57.7	88.71
PA0094-C	ERS011005	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			288565384	274756564	14294917	75	25.7	22725468	19634384	14363093	55719	12.09	233.8	43.5	76.01
PA0098-C	ERS011018	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2662211576	2582362176	234738598	75	24	23218950	23106763	22863646	17689123	107.33	252.5	58.5	89.58
PA0099-C	ERS010080	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3768389782	3627101526	1045747318	75	23.9	23187662	23120716	23040124	19250700	142.45	217.6	63.4	89.01
PA0100-C	ERS011020	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4975964592	4873782288	278976737	75	26.9	23139333	22852901	22523342	20166082	207.87	331.3	50.5	88.52
PA0101-C	ERS009975	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			5936045421	5445738261	264932559	75	24.6	23190579	22977372	22629926	18703282	224.75	219.8	68.2	89.14
PA0102-C	ERS009673	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3041433782	2875355086	553983695	75	22.1	23240937	22983747	22257513	13447037	104.13	467.5	856.4	87.73
PA0104-C	ERS011015	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			7832776563	7692908519	382783020	75	25.9	23184349	23116854	23074099	22845028	326.14	253	50.9	89.96
PA0134-C	ERS041972	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2494556832	2440387732	152394238	99	25	23260163	23124361	22984305	20556020	104.01	251.5	71.1	90.47
PA0137-C	ERS042009	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1050157825	1034634825	49427952	99	25.2	23205832	22898905	22327471	9591073	44.22	260.8	79.7	89.71
PA0138-C	ERS041976	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1866446084	1790999884	127170501	99	25.3	23321725	23283190	23204561	18695814	76.21	257.7	74.7	91.2
PA0140-C	ERS041990	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			463352878	407723878	20496759	99	25.1	23142686	22181114	19491185	169964	17.59	264.6	81.3	86.39
PA0144-C	ERS042041	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1063694175	1018722275	57931955	99	25.2	23156965	22970171	22669549	7878716	43.6	269.7	81.2	90.16
PA0145-C	ERS041974	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2896883358	2849820258	156364670	99	25.2	23262293	23201426	23133729	20946749	121.48	254.6	70.5	90.78
PA0146-C	ERS041979	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			794953059	764257459	61550721	99	25.2	23275066	22802973	21781563	1994901	32.78	267.4	72.9	89.2
PA0147-C	ERS042039	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1073826374	1006069474	95587647	99	25.7	23281281	23168859	22968654	7158014	42.8	275.7	91.9	90.86
PA0148-C	ERS042054	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2415533622	2377794822	239207499	99	25.5	23299099	23173509	23016212	20647408	101.38	252	66	90.6
PA0149-C	ERS042067	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			532988909	525380209	22182877	99	25.1	23105882	22271327	20243652	388050	22.72	263.3	75.5	86.97
PA0151-C	ERS042004	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1017239387	999212187	43888936	99	25.9	23128620	22864081	22391114	8414159	42.8	256.4	77.3	89.69
PA0152-C	ERS042063	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			745104750	736193450	31808974	99	25.7	23117538	22787557	22051350	1290068	31.79	267.4	81	89.41
PA0153-C	ERS042074	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2588801849	2547434449	267282900	99	25.7	23275251	23201382	23094990	20090796	108.59	255.4	65.6	90.78
PA0155-C	ERS042000	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1200312447	1170776947	78898324	99	25.2	23307754	23181005	22793651	12304391	49.8	264.9	78.6	90.68
PA0157-C	ERS041975	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			970606008	887003808	44357774	99	25.1	23152179	22905292	22435481	4420166	38.24	258.2	74.9	89.94
PA0158-C	ERS042033	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1251455212	1225276612	66573257	99	25.3	23179797	22990497	22664316	12967005	52.42	262.1	74.1	90.23
PA0159-C	ERS042083	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3687077308	3636715708	184972139	99	25	23256598	23146914	23060857	21786791	154.81	249.4	72.2	90.45
PA0160-C	ERS042087	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1459805844	1351851344	77217250	99	25.1	23306919	23230924	23061955	15882984	57.67	243.1	73.5	91
PA0161-C	ERS041970	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2043454673	2012701773	157851151	99	25.6	23172922	23048113	22906562	19818445	86.28	261.2	75.7	90.19
PA0163-C	ERS042065	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			906407346	879140346	46681542	99	25.5	23276037	23054088	22495291	4316619	37.59	266.4	77.1	90.28
PA0165-C	ERS042079	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3912464357	3850540157	200576488	99	25.3	23225000	23115816	23046087	22061434	164.28	248.7	72.3	90.39
PA0167-C	ERS042108	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3386123879	3335380379	173917696	99	25.2	23224042	23134247	23042978	21496830	142.47	239.3	69.8	90.57
PA0168-C	ERS042038	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2130291906	2095047106	149038814	98	25.5	23163289	23052255	22953839	20898540	89.35	264.5	78.1	90.33
PA0169-C	ERS042040	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1557686865	1534288065	130971889	98	25.7	23093684	22912213	22736068	17882762	65.72	265.5	79.8	90.28
PA0171-C	ERS042001	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1395467877	1377442577	63654991	99	25.5	23273138	23121025	22790431	14798334	58.62	267.2	75.1	90.46
PA0172-C	ERS041968	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2731572024	2682316424	165845514	99	25.1	23197870	23094382	23018995	21647282	114.59	259.4	74.9	90.42
PA0173-C	ERS042077	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2661728896	2620738396	248391147	99	25.6	23257604	23100014	22981919	21129359	111.75	251.2	63.3	90.38
PA0176-C	ERS042031	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1094363701	1060646501	59891746	99	25.5	23159884	22938339	22561210	9692336	45.51	269.8	76	89.97
PA0177-C	ERS042085	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			4200923270	4113273970	377182914	99	25.3	23284886	23214719	23145955	22110101	174.54	242.6	71.3	90.86
PA0178-C	ERS042090	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3136545692	3054670092	317892582	99	25.2	23290633	23216408	23145446	22143822	130.19	238.5	72.8	90.84
PA0179-C	ERS042089	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2092735451	1979830351	356858141	99	25	23271439	23203830	23110239	20353648	84.39	267.7	76.9	90.7
PA0180-C	ERS041983	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1177275817	1152810017	57616435	99	25.9	23141361	22928716	22564390	11851678	49.33	256.7	77.6	90.25
PA0182-C	ERS042073	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			564975388	530082788	27580294	99	25.4	23144083	22540496	21081011	312586	22.88	257.5	74.2	88.31
PA0183-C	ERS042062	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			932791157	920292457	42550790	99	25.5	23146625	22888153	22441234	5059713	39.61	259.7	79.6	89.89
PA0184-C	ERS042010	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1020452003	1005531703	55098185	99	25.4	23232317	22942549	22417323	8691828	43.05	263.1	77.3	89.91
PA0185-C	ERS042046	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1232896896	1214338596	60148913	99	25.8	23182713	22967134	22643605	12625399	51.93	264.9	77.6	90.39
PA0186-C	ERS042050	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			2740992800	2694404000	298257843	99	25.6	23194681	23074191	22984360	21730145	115.35	250.5	68.3	90.35
PA0187-C	ERS042104	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3974962942	3919750942	201308273	99	25.2	23275760	23160395	23067158	22186744	167.01	245	67.5	90.51
PA0188-C	ERS042029	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			794420277	744956077	43493880	99	25.8	23241764	22864694	22094244	1501484	31.99	263.5	73.3	89.76
PA0189-C	ERS042112	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			3365340674	3305474874	267743645	99	25.2	23242883	23107625	23027945	22095789	141.13	240.6	71.2	90.42
PA0190-C	ERS041981	1026	Effects of transmission intensity on population structure and signatures of selection in Guinea	David Conway	david.conway@lshtm.ac.uk	Guinea	Nzerekore			1023220253	689781753	70271396	99	23.6	23165611	22882277	22287637	951720	29.4	257.6	81.2	86.9
